file,mse,parameters,
electricity_utilization_specific_user.csv,1.888439,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.58979536887;sequance_length=20,
art_daily_no_noise.csv,542.394472,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=15;training_ratio=0.1;sequance_length=20,
art_daily_perfect_square_wave.csv,148.317099,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=15;training_ratio=0.1;sequance_length=20,
art_daily_small_noise.csv,559.35318,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=15;training_ratio=0.1;sequance_length=20,
art_flatline.csv,2e-06,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=15;training_ratio=0.1;sequance_length=20,
art_noisy.csv,10.028605,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=15;training_ratio=0.1;sequance_length=20,
art_daily_flatmiddle.csv,416.885761,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=15;training_ratio=0.1;sequance_length=20,
art_daily_jumpsdown.csv,181.560849,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=15;training_ratio=0.1;sequance_length=20,
art_daily_jumpsup.csv,1144.358603,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=15;training_ratio=0.1;sequance_length=20,
art_daily_nojump.csv,384.62497,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=15;training_ratio=0.1;sequance_length=20,
art_increase_spike_density.csv,8.08946,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=15;training_ratio=0.1;sequance_length=20,
art_load_balancer_spikes.csv,0.159703,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=15;training_ratio=0.1;sequance_length=20,
ec2_cpu_utilization_24ae8d.csv,0.009433,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=15;training_ratio=0.1;sequance_length=20,
ec2_cpu_utilization_53ea38.csv,0.010489,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=15;training_ratio=0.1;sequance_length=20,
ec2_cpu_utilization_5f5533.csv,19.795113,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=15;training_ratio=0.1;sequance_length=20,
