timestamp,value,training,prediction,label
24-10-2016 0,0.32,1.0,1.0,0.0
24-10-2016 1,0.32,1.0,1.0,0.0
24-10-2016 2,1.74,1.0,1.0,0.0
24-10-2016 3,1.08,1.0,1.0,0.0
24-10-2016 4,0.58,1.0,1.0,0.0
24-10-2016 5,0.57,1.0,1.0,0.0
24-10-2016 6,1.5,1.0,1.0,0.0
24-10-2016 7,5.07,1.0,1.0,0.0
24-10-2016 8,4.65,1.0,1.0,0.0
24-10-2016 9,5.17,1.0,1.0,0.0
24-10-2016 10,2.53,1.0,1.0,0.0
24-10-2016 11,3.67,1.0,1.0,0.0
24-10-2016 12,1.46,1.0,1.0,0.0
24-10-2016 13,2.34,1.0,1.0,0.0
24-10-2016 14,1.3,1.0,1.0,0.0
24-10-2016 15,2.02,1.0,1.0,0.0
24-10-2016 16,2.64,1.0,1.0,0.0
24-10-2016 17,2.32,1.0,1.0,0.0
24-10-2016 18,3.21,1.0,1.0,0.0
24-10-2016 19,2.85,1.0,1.0,0.0
24-10-2016 20,2.8,1.0,1.0,0.0
24-10-2016 21,2.85,1.0,1.0,0.0
24-10-2016 22,1.83,1.0,1.0,0.0
24-10-2016 23,2.41,1.0,1.0,0.0
25-10-2016 0,2.09,1.0,1.0,0.0
25-10-2016 1,0.27,1.0,1.0,0.0
25-10-2016 2,1.42,1.0,1.0,0.0
25-10-2016 3,1.37,1.0,1.0,0.0
25-10-2016 4,1.08,1.0,1.0,0.0
25-10-2016 5,0.76,1.0,1.0,0.0
25-10-2016 6,1.68,1.0,1.0,0.0
25-10-2016 7,4.37,1.0,1.0,0.0
25-10-2016 8,5.74,1.0,1.0,0.0
25-10-2016 9,5.01,1.0,1.0,0.0
25-10-2016 10,2.79,1.0,1.0,0.0
25-10-2016 11,3.1,1.0,1.0,0.0
25-10-2016 12,2.58,1.0,1.0,0.0
25-10-2016 13,3.28,1.0,1.0,0.0
25-10-2016 14,1.43,1.0,1.0,0.0
25-10-2016 15,2.39,1.0,1.0,0.0
25-10-2016 16,2.74,1.0,1.0,0.0
25-10-2016 17,2.53,1.0,1.0,0.0
25-10-2016 18,2.69,1.0,1.0,0.0
25-10-2016 19,1.52,1.0,1.0,0.0
25-10-2016 20,3.69,1.0,1.0,0.0
25-10-2016 21,1.72,1.0,1.0,0.0
25-10-2016 22,2.8,1.0,1.0,0.0
25-10-2016 23,1.87,1.0,1.0,0.0
26-10-2016 0,1.07,1.0,1.0,0.0
26-10-2016 1,0.65,1.0,1.0,0.0
26-10-2016 2,0.76,1.0,1.0,0.0
26-10-2016 3,1.46,1.0,1.0,0.0
26-10-2016 4,1.1,1.0,1.0,0.0
26-10-2016 5,0.88,1.0,1.0,0.0
26-10-2016 6,1.25,1.0,1.0,0.0
26-10-2016 7,5.19,1.0,1.0,0.0
26-10-2016 8,4.65,1.0,1.0,0.0
26-10-2016 9,3.98,1.0,1.0,0.0
26-10-2016 10,1.87,1.0,1.0,0.0
26-10-2016 11,3.59,1.0,1.0,0.0
26-10-2016 12,2.1,1.0,1.0,0.0
26-10-2016 13,2.61,1.0,1.0,0.0
26-10-2016 14,1.98,1.0,1.0,0.0
26-10-2016 15,2.7,1.0,1.0,0.0
26-10-2016 16,2.89,1.0,1.0,0.0
26-10-2016 17,1.65,1.0,1.0,0.0
26-10-2016 18,2.38,1.0,1.0,0.0
26-10-2016 19,2.42,1.0,1.0,0.0
