timestamp,value,prediction
24-10-2017 1,3.0,2.842874384066269
24-10-2017 2,2.31,2.9645613650650318
24-10-2017 3,1.76,2.416655230027983
24-10-2017 4,1.49,2.008680656797975
24-10-2017 5,3.57,1.780763760304787
24-10-2017 6,4.16,3.4346604081841634
24-10-2017 7,1.22,3.831302482880001
24-10-2017 8,0.57,1.6096309905081276
24-10-2017 9,0.56,1.203493930483084
24-10-2017 10,0.95,1.0230553561259859
24-10-2017 11,1.75,1.3251040876812719
24-10-2017 12,0.84,1.9634762334750433
24-10-2017 13,3.65,1.2735144239724119
24-10-2017 14,3.73,3.589382204990936
24-10-2017 15,4.34,3.4808833354898057
24-10-2017 16,4.49,4.109023694908688
24-10-2017 17,3.51,4.112020450263556
24-10-2017 18,2.57,3.3073955446052663
24-10-2017 19,1.55,2.5390397137444642
24-10-2017 20,2.49,1.6857803338748103
24-10-2017 21,5.65,2.4378483612173816
24-10-2017 22,3.26,4.89732279874004
24-10-2017 23,3.11,3.0779785293638997
25-10-2017 0,3.76,3.3167624129196396
25-10-2017 1,3.14,3.694075559217744
25-10-2017 2,3.07,3.203490386895911
25-10-2017 3,2.9,3.158726713806664
25-10-2017 4,1.3,2.9208101082296376
25-10-2017 5,3.13,1.6123377914922845
25-10-2017 6,2.57,3.0294055642051028
25-10-2017 7,3.28,2.4071739127984895
25-10-2017 8,2.95,3.1249342755414045
25-10-2017 9,3.16,2.8256400480146504
25-10-2017 10,4.96,3.112244257438237
25-10-2017 11,5.06,4.519803365553171
25-10-2017 12,3.43,4.58366333101648
25-10-2017 13,1.54,3.424906488724909
25-10-2017 14,1.32,1.978041351445449
25-10-2017 15,2.3,1.7325895639980484
25-10-2017 16,0.8,2.35765363687752
25-10-2017 17,1.5,1.1454795139830347
25-10-2017 18,0.89,1.8147850195237223
25-10-2017 19,3.83,1.2453225732003825
25-10-2017 20,3.98,3.6444286512853803
25-10-2017 21,0.65,3.634756632079122
25-10-2017 22,1.01,1.2592040368117392
25-10-2017 23,0.57,1.6202941695134951
26-10-2017 0,0.26,1.0335680967957326
26-10-2017 1,0.24,0.8280211412981717
26-10-2017 2,0.24,0.765909754012408
26-10-2017 3,1.34,0.7587927948367024
26-10-2017 4,1.4,1.6236527014881297
26-10-2017 5,2.24,1.6540851973465813
26-10-2017 6,3.56,2.3904336520763576
26-10-2017 7,0.63,3.3811676783828144
26-10-2017 8,0.5,1.1199508326201557
26-10-2017 9,0.48,1.175392276006173
26-10-2017 10,0.97,0.9422398551122888
26-10-2017 11,1.08,1.3251304407074773
26-10-2017 12,0.74,1.382179343748184
26-10-2017 13,2.98,1.168743559176559
26-10-2017 14,2.88,2.9326953954736448
26-10-2017 15,3.22,2.7762645967092814
26-10-2017 16,4.63,3.1963133628434854
26-10-2017 17,4.82,4.234459245016745
26-10-2017 18,3.42,4.336583659035433
26-10-2017 19,1.84,3.3002669316421116
26-10-2017 20,1.56,2.1002310077330515
26-10-2017 21,5.77,1.8317194702309165
26-10-2017 22,4.11,4.9933150028023
26-10-2017 23,3.07,3.5891915443683944
27-10-2017 0,3.06,3.16116072505453
27-10-2017 1,3.72,3.0891690971144747
27-10-2017 2,2.94,3.584654059154227
27-10-2017 3,1.0,2.9661553389648843
27-10-2017 4,1.35,1.5375971412171165
27-10-2017 5,4.09,1.7992795389892398
27-10-2017 6,3.16,3.7497695461844542
27-10-2017 7,3.97,2.9507133936638006
27-10-2017 8,3.13,3.7549445025159622
27-10-2017 9,3.12,2.9892199485797404
27-10-2017 10,1.95,3.0719905939135668
27-10-2017 11,3.25,2.1084632876318157
27-10-2017 12,1.69,3.1724351064078053
27-10-2017 13,1.69,1.8749888728011017
27-10-2017 14,1.92,2.0547188343922826
27-10-2017 15,1.37,2.142506363704687
27-10-2017 16,3.21,1.7493320278187903
27-10-2017 17,3.06,3.1893498944303555
27-10-2017 18,2.98,2.962455735238605
27-10-2017 19,1.9,3.0019052852461368
27-10-2017 20,2.97,2.1125663884144386
27-10-2017 21,1.58,2.936685965169102
27-10-2017 22,1.45,1.7363238879685927
27-10-2017 23,1.38,1.7592676927269093
28-10-2017 0,0.34,1.6266119226755784
28-10-2017 1,0.23,0.8784122326313659
28-10-2017 2,0.27,0.8670341521273262
28-10-2017 3,0.56,0.881467192063162
28-10-2017 4,1.25,1.1334598394421254
28-10-2017 5,3.14,1.6597662913873272
28-10-2017 6,3.45,3.0839352027527527
28-10-2017 7,3.31,3.255359444591995
28-10-2017 8,3.59,3.196491043383978
28-10-2017 9,3.2,3.3607186220294
28-10-2017 10,2.61,2.997826047713764
28-10-2017 11,3.95,2.5564494036745953
28-10-2017 12,2.33,3.5887471398848554
28-10-2017 13,2.86,2.316936826737281
28-10-2017 14,3.02,2.9373355658038376
28-10-2017 15,3.19,2.995670948833421
28-10-2017 16,1.18,3.2276780657317943
28-10-2017 17,1.79,1.707025245515407
28-10-2017 18,1.37,2.2452078488424885
28-10-2017 19,0.86,1.7259162539987836
28-10-2017 20,1.06,1.3440715120181579
28-10-2017 21,1.6,1.4123594521654574
28-10-2017 22,0.8,1.747473805219499
28-10-2017 23,0.28,1.1124648879684493
29-10-2017 0,0.3,0.7877146163780331
29-10-2017 1,0.33,0.8052617108422693
29-10-2017 2,2.105,0.8572108943864285
29-10-2017 3,2.105,2.2718966605987077
29-10-2017 4,0.98,2.2557358631414424
29-10-2017 5,0.87,1.5288933147923625
29-10-2017 6,3.93,1.453369703769566
29-10-2017 7,4.09,3.68176515710808
29-10-2017 8,3.98,3.635165422797784
29-10-2017 9,4.82,3.6805721770426363
29-10-2017 10,3.58,4.266976103034805
29-10-2017 11,3.35,3.271607131909373
29-10-2017 12,3.7,3.198669337430057
29-10-2017 13,2.71,3.4260826448103794
29-10-2017 14,2.17,2.717840024680747
29-10-2017 15,1.99,2.4286302239131192
29-10-2017 16,1.37,2.30428386009459
29-10-2017 17,4.52,1.8460466861000326
29-10-2017 18,7.61,4.260759267997005
29-10-2017 19,4.75,6.436956051254492
29-10-2017 20,3.95,4.295012652065226
29-10-2017 21,4.18,3.8795165060659516
29-10-2017 22,5.72,3.8084834162699357
29-10-2017 23,2.33,4.898992191910958
29-10-2017 24,0.52,2.2574992163582666
30-10-2017 0,0.78,1.134196658268094
30-10-2017 1,0.42,1.242442562579783
30-10-2017 2,0.4,0.9701175166422172
30-10-2017 3,0.73,1.0765955383275727
30-10-2017 4,1.92,1.367267783244766
30-10-2017 5,4.75,2.2838910075178935
30-10-2017 6,4.96,4.381060183523637
30-10-2017 7,0.83,4.431172127208975
30-10-2017 8,1.6,1.3356936786948168
30-10-2017 9,1.01,1.9473897442956867
30-10-2017 10,0.99,1.1287156057797931
30-10-2017 11,1.44,1.191484491142372
30-10-2017 12,1.57,1.5251360935613458
30-10-2017 13,2.26,1.726230783064762
30-10-2017 14,4.51,2.4030167044930115
30-10-2017 15,4.81,4.217813589721823
30-10-2017 16,7.87,4.4850494972477515
30-10-2017 17,5.9,6.9517292755693845
30-10-2017 18,3.61,5.284026807069877
30-10-2017 19,3.42,3.6921578257591556
30-10-2017 20,3.39,3.3336380347932186
30-10-2017 21,1.73,3.076671064805799
30-10-2017 22,0.51,1.7466439801650908
30-10-2017 23,0.29,0.8880358046283363
31-10-2017 0,0.24,0.7479529535382026
31-10-2017 1,1.25,0.7886766556501459
31-10-2017 2,1.07,1.696279628009443
31-10-2017 3,1.05,1.6374684935679538
31-10-2017 4,2.0,1.7478693741534566
31-10-2017 5,5.0,2.4249710312972197
31-10-2017 6,4.59,4.57903811245247
31-10-2017 7,1.45,4.074204978353118
31-10-2017 8,1.38,1.7287224162152943
31-10-2017 9,1.58,1.613052497373219
31-10-2017 10,0.75,1.5174561078270252
31-10-2017 11,1.43,0.9189609557353993
31-10-2017 12,3.67,1.5778061203499396
31-10-2017 13,1.78,3.370270601973961
31-10-2017 14,5.36,2.07298070969604
31-10-2017 15,5.52,5.127950856586915
31-10-2017 16,4.54,5.039242522152991
31-10-2017 17,5.3,4.499920520687347
31-10-2017 18,4.4,4.963289267960854
31-10-2017 19,4.18,4.03482996910769
31-10-2017 20,5.52,3.7817310516511404
31-10-2017 21,2.12,4.622559766287681
31-10-2017 22,3.1,1.9472081632386202
31-10-2017 23,2.99,2.9484932396837
01-11-2017 0,3.73,2.730839030396193
01-11-2017 1,3.02,3.5646569079691974
01-11-2017 2,2.48,3.1383909713072753
01-11-2017 3,0.75,2.928961807665656
01-11-2017 4,1.26,1.6123769178293101
01-11-2017 5,4.04,1.9775751462677382
01-11-2017 6,4.13,3.8316225832026873
01-11-2017 7,4.98,3.681332416277118
01-11-2017 8,3.6,4.334574788212706
01-11-2017 9,3.28,3.1291430223026517
01-11-2017 10,2.2,2.9544770360785835
01-11-2017 11,2.72,2.0854154263626974
01-11-2017 12,2.63,2.627986010808011
01-11-2017 13,2.34,2.630389934907633
01-11-2017 14,2.26,2.623760268164929
