file,mse,parameters,
art_daily_no_noise.csv,50.251466,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_perfect_square_wave.csv,92.517327,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_small_noise.csv,72.281737,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_flatline.csv,3e-06,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_noisy.csv,12.247727,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_flatmiddle.csv,185.292762,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_jumpsdown.csv,89.022646,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_jumpsup.csv,97.263722,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_nojump.csv,73.172123,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_increase_spike_density.csv,6.187088,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_load_balancer_spikes.csv,0.202484,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
electricity_utilization_specific_user.csv,2.536357,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_cpu_utilization_24ae8d.csv,0.009536,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_cpu_utilization_53ea38.csv,0.010141,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_cpu_utilization_5f5533.csv,8.687177,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_cpu_utilization_77c1ca.csv,555.017529,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_cpu_utilization_825cc2.csv,26.587345,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
